,statement,link,veracity
230,"“Guess what, [children are] not at risk unless they have an underlying medical issue.”",/factchecks/2020/may/14/mike-turzai/pa-house-speaker-says-coronavirus-only-threatens-c/,false
231,Barack Obama “is the first ex-president to ever speak against his successor.”,/factchecks/2020/may/11/tweets/obama-isnt-first-ex-president-speak-ill-his-succes/,false
232,Says Joe Biden has “written a letter of apology” for calling Trump’s travel restrictions from China “xenophobic.”,/factchecks/2020/may/04/donald-trump/without-evidence-trump-claims-biden-sent-him-apolo/,false
233,"“President Trump just announced that the ‘biological’ lab in Wuhan where the COVID-19 virus was created was ‘funded’ by President Barak (sp) Hussein Obama in 2015 to the tune of $3,800,000 American dollars!”",/factchecks/2020/apr/30/blog-posting/obama-administration-did-not-provide-38-million-wu/,false
234,"“Hundreds and hundreds of labs are ready, willing, and able.”",/factchecks/2020/apr/23/donald-trump/donald-trump-exaggerates-number-untapped-coronavir/,barely-true
235,"“The poor are, ironically, the most likely to be employed in the industries deemed ‘essential’ while their upper-class peers are freed to bunker down for weeks until the first death wave passes.”",/factchecks/2020/apr/21/facebook-posts/still-going-work-pennsylvania-chances-are-youre-lo/,true
236,"“In a matter of days, and in some cases the moment may even have passed, that we’ve reached the peak of the rate of infections.”",/factchecks/2020/apr/16/pat-toomey/us-sen-pat-toomey-says-coronavirus-outbreak-has-re/,half-true
237,"""This is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.""",/factchecks/2020/apr/15/kellyanne-conway/kellyanne-conway-misleads-name-covid-19-says-its-n/,false
238,“Everyone is only dying of coronavirus now.”,/factchecks/2020/apr/14/candace-owens/covid-19-skeptics-say-theres-overcount-doctors-fie/,false
239,"""The president looks like he was ahead of the curve – as you know, he talks about this all the time – on shutting down travel from China.""",/factchecks/2020/apr/14/rick-santorum/rick-santorum-said-trump-was-ahead-curve-china-tra/,barely-true
240,"Says fired inspector general Michael Atkinson brought a “terrible, inaccurate whistleblower report” to Congress.",/factchecks/2020/apr/06/donald-trump/firing-inspector-general-donald-trump-falsely-repe/,pants-fire
241,"The government is closing businesses to stop the spread of coronavirus even though ""the numbers are nothing compared to H1N1 or Ebola. Everyone needs to realize our government is up to something ...”",/factchecks/2020/apr/06/facebook-posts/fact-checking-viral-pa-facebook-post-coronavirus-s/,pants-fire
242,"“There was no effort” to get American experts into China after it announced the coronavirus, and “we had one person in-country (and Trump) pulled him out of the country.”",/factchecks/2020/apr/03/joe-biden/whats-true-whats-not-bidens-attacks-trump-and-gett/,barely-true
243,"“We were slow with the testing, but very quick with the travel ban. And that's been much more critical in saving lives.”",/factchecks/2020/apr/03/jesse-watters/are-covid-19-travel-restrictions-more-critical-sav/,false
244,"“On February 7, the WHO warned about the limited stock of PPE. That same day, the Trump administration announced it was sending 18 tons of masks, gowns and respirators to China.”",/factchecks/2020/apr/02/facebook-posts/yes-us-shipped-donated-personal-protective-equipme/,true
245,“My mask will keep someone else safe and their mask will keep me safe.”,/factchecks/2020/apr/01/pat-toomey/will-homemade-masks-stop-coronavirus-spreading-fac/,true
246,"“We’ve got to give the American public a rough estimate of how long we think this is going to take, based mostly on the South Korean model, which seems to be the trajectory that we are on, thankfully, and not the Italian model.”",/factchecks/2020/apr/01/brian-fitzpatrick/pa-congressman-said-us-coronavirus-trajectory-more/,half-true
247,“We inherited a broken test” for COVID-19.,/factchecks/2020/mar/31/donald-trump/trump-blames-past-administrations-flawed-covid-19-/,pants-fire
248,"“Swing State Hit With 2020 Voting Lawsuit - Accused Of Registering Over 1,500 Deceased People In Pennsylvania.”",/factchecks/2020/mar/27/blog-posting/no-new-lawsuit-doesnt-say-pennsylvania-registered-/,barely-true
249,"“Did you see President Trump’s RECORD TURNOUT? Iowa - 32,389 Republicans.”",/factchecks/2020/mar/20/brad-parscale/trump-beat-obamas-iowa-caucus-turnout-turnout-reco/,half-true
250,"The coronavirus ""snuck up on us,” adding that it is “a very unforeseen thing.”",/factchecks/2020/mar/19/donald-trump/was-novel-coronavirus-really-sneaky-its-spread-us-/,pants-fire
251,"Says President Donald Trump said, “People are dying who have never died before.”",/factchecks/2020/mar/19/facebook-posts/no-trump-didnt-say-people-are-dying-who-have-never/,pants-fire
252,"“I've always known this is a real, this is a pandemic. I've felt it was a pandemic long before it was called a pandemic.”",/factchecks/2020/mar/18/donald-trump/trump-says-he-always-felt-coronavirus-was-pandemic/,pants-fire
253,The WHO coronavirus test “was a bad test.”,/factchecks/2020/mar/17/donald-trump/donald-trump-falsely-says-who-coronavirus-test-was/,false
254,The World Health Organization offered the testing kits that they have available and to give it to us now. We refused them. We did not want to buy them.”,/factchecks/2020/mar/16/joe-biden/biden-falsely-says-trump-administration-rejected-w/,barely-true
255,Says Bernie Sanders voted against the auto bailout,/factchecks/2020/mar/16/joe-biden/joe-biden-gets-bernie-sanders-votes-wrong-auto-bai/,half-true
256,"Says Joe Biden ""has advocated cutting Social Security for 40 years""",/factchecks/2020/mar/12/bernie-sanders/sanders-misleading-social-security-attack-biden/,barely-true
257,"“(Barack Obama) set up anti-pandemic programs in 47 vulnerable countries as a way to protect against something like the coronavirus, exactly. Do you know that Trump closed 37 of them?”",/factchecks/2020/mar/12/joy-behar/view-co-host-wrongly-says-trump-shut-down-37-globa/,false
258,“Every election year has a disease” ... SARS in 2004; avian flu in 2008; swine flu in 2010; MERS in 2012; Ebola in 2014 and 2018; Zika in 2016 and the coronavirus in 2020.,/factchecks/2020/mar/11/facebook-posts/no-connection-between-us-national-elections-and-in/,false
259,"“Trade agreements like NAFTA and permanent normal trade relations with China, which forced American workers to compete against people making pennies an hour, has resulted in the loss of 160,000 jobs here in Michigan.""",/factchecks/2020/mar/10/bernie-sanders/sanders-correct-nafta-china-trade-cost-thousands-j/,mostly-true
260,"“With regard to the cost, let me be very clear: HHS has designated the coronavirus test as an essential health benefit. That means, by definition, it's covered in the private health insurance of every American, as well as covered by Medicare and Medicaid.""",/factchecks/2020/mar/06/mike-pence/pences-statement-about-insurance-coverage-coronavi/,half-true
261,“The Obama administration made a decision on testing that turned out to be very detrimental to what we’re doing” on the coronavirus.,/factchecks/2020/mar/06/donald-trump/trump-wrongly-blames-obama-limits-coronavirus-test/,false
262,"The United States is “actually screening fewer people (for the coronavirus than other countries) because we don't have appropriate testing.""",/factchecks/2020/mar/04/lou-dobbs/lou-dobbs-says-united-states-screening-fewer-peopl/,mostly-true
263,"""Cuba has a lung cancer vaccine we in the US had no access to because we sanctioned Cuba.”",/factchecks/2020/mar/04/blog-posting/sanders-supporters-said-sanctions-blocked-access-c/,half-true
264,"Says the media cut out his request of Russian hackers to find Hillary Clinton’s emails “right at the end so that you don’t see the laughter, the joke.”",/factchecks/2020/mar/02/donald-trump/donald-trump-rewrites-history-about-his-russia-if-/,false
265,"Says Obama said black people have the ""worst jobs, the worst housing"" and face rampant police brutality, ""but when so-called black committeemen came around election time we’d all line up and vote the straight Democratic ticket, sell our souls for a Christmas turkey.""",/factchecks/2020/feb/27/committee-defend-president/pro-trump-pac-takes-obama-quote-out-context-attack/,pants-fire
266,"Says Bernie Sanders has said “things like women get cancer from having too many orgasms, or toddlers should run around naked and touch each others' genitals to insulate themselves from porn … He's written about women's rape fantasies.""",/factchecks/2020/feb/26/tim-obrien/bloomberg-adviser-slams-bernie-sanders-decades-old/,half-true
267,"""Back in 2005, when we did that first point-in-time count, there were over 188,000 thousand people that were deemed homeless in the state of California. … That’s 35,000 more than we have today.”",/factchecks/2020/feb/21/gavin-newsom/gavin-newsom-claimed-californias-homeless-populati/,half-true
268,"“The majority of hunters now want universal background checks, the majority of Trump voters.”",/factchecks/2020/feb/20/amy-klobuchar/amy-klobuchar-says-majority-trump-voters-hunters-w/,true
269,"Says Mike Bloomberg is “a candidate who in 2015 stated, and I quote: ‘I, for example, am not in favor, have never been in favor of raising the minimum wage.’”",/factchecks/2020/feb/18/bernie-sanders/mike-bloomberg-now-supports-15-minimum-wage-he-did/,mostly-true
270,"Says Elizabeth Warren, asked about the Mollie Tibbetts murder, said “I know this is hard for her family, but they have to remember that we need to focus on real problems, like illegal immigrants not being able to see their kids.”",/factchecks/2020/feb/14/blog-posting/facebook-post-invents-false-warren-quote-immigrati/,pants-fire
271,Says a teenage Pete Buttigieg was arrested in the late 1990s for killing dogs.,/factchecks/2020/feb/14/facebook-posts/fake-newspaper-clip-says-teenage-pete-buttigieg-ki/,pants-fire
272,“Trump’s daughter works at the White House. Her husband works at the White House. Rudy’s son works at the White House. Barr’s son-in-law works at the White House. Barr’s daughter works at Treasury. Trump’s sons do foreign business. Trump’s daughter is getting Chinese patents and Saudi grants.”,/factchecks/2020/feb/11/facebook-posts/fact-checking-how-many-trump-relatives-and-friends/,mostly-true
273,"Says with his guilty impeachment vote, Senator Mitt Romney “could be removed from office.”",/factchecks/2020/feb/07/blog-posting/headline-falsely-claims-mitt-romney-could-be-remov/,false
274,"""I thought it was a terrible thing when (Nancy Pelosi) ripped up the speech. First of all, it's an official document. You're not allowed. It's illegal what she did. She broke the law.""",/factchecks/2020/feb/07/donald-trump/donald-trump-says-nancy-pelosis-speech-tear-was-il/,pants-fire
275,"“Under my administration, 7 million Americans have come off of food stamps, and 10 million people have been lifted off of welfare.”",/factchecks/2020/feb/06/donald-trump/trumps-state-union-claim-welfare-food-stamp-declin/,half-true
276,National polls have “never predicted who will be president from our party. Carter was in the single digits a few months before caucuses. Bill Clinton was. Obama — 20 points behind in the national polls roughly.”,/factchecks/2020/feb/06/cory-booker/polling-high-nomination-season-doesnt-mean-clear-p/,true
277,"""Nancy Pelosi may have just committed a violation of 18 U.S.C. § 2071, Section 2071 (a) when she ripped up President Trump’s State of the Union address. This violation is punishable by up to three years in prison.”",/factchecks/2020/feb/05/charlie-kirk/charlie-kirk-wrongly-suggests-pelosi-broke-law-rip/,pants-fire
278,"“I have also overseen historic funding increases for high-quality child care, enabling 17 states to help more children, many of which have reduced or eliminated their waitlists altogether.”",/factchecks/2020/feb/05/donald-trump/did-trump-oversee-historic-funding-increase-child-/,half-true
279,"“Cory Booker and all these people couldn't get any of the things that (Michael) Bloomberg's getting now"" with respect to DNC debate rules.",/factchecks/2020/feb/03/donald-trump/fact-checking-trumps-claim-bloomberg-and-dnc-debat/,half-true
280,"When asked if he’s defended former U.S. ambassador to Ukraine Marie Yovanovitch, ""I've defended every single person on this team.""",/factchecks/2020/jan/29/mike-pompeo/no-evidence-mike-pompeos-claim-hes-defended-ambass/,false
281,"""More than 80% of Republicans think we ought to at least be doing universal background checks.""",/factchecks/2020/jan/29/pete-buttigieg/buttigieg-point-majority-republicans-support-backg/,true
282,"Says President Donald Trump’s hold on Ukraine aid was like when ""the Obama administration withheld $585 million of promised aid to Egypt in 2013 ... (and within the  fiscal year) they didn't have to disclose the halt to anyone.""",/factchecks/2020/jan/28/jay-sekulow/trump-lawyer-sekulow-says-trumps-hold-ukraine-aid-/,barely-true
283,"""The Democrat controlled House never even asked John Bolton to testify.""",/factchecks/2020/jan/27/donald-trump/trump-falsely-claims-house-democrats-never-asked-b/,false
284,"""Right now 5% of Americans donate to candidates.""",/factchecks/2020/jan/24/andrew-yang/what-percent-americans-donate-political-candidates/,mostly-true
285,"Says Jordan Davis, son of Georgia Congresswoman Lucy McBath, was killed in ""a drug deal gone bad.""",/factchecks/2020/jan/24/paul-maner/claim-us-rep-lucy-mcbaths-teen-murdered-son-was-ki/,pants-fire
286,"""Not even (House Intelligence Chairman Adam) Schiff’s Republican colleagues were allowed into the SCIF"" during the House impeachment investigation.",/factchecks/2020/jan/21/pat-cipollone/senate-trial-pat-cipollone-was-wrong-gop-access-sc/,false
287,"Says Iranian Gen. Qassem Soleimani ""was a designated terrorist by President Obama, who didn't do anything about it.""",/factchecks/2020/jan/16/donald-trump/fact-checking-trumps-claim-obama-designated-irans-/,mostly-true
288,"""Look at the men on this stage. Collectively, they have lost 10 elections. The only people on this stage who have won every single election that they’ve been in are the women, Amy and me.""",/factchecks/2020/jan/15/elizabeth-warren/democratic-debates-biggest-electoral-losers-number/,true
289,"""The American military has been completely rebuilt under my administration at a cost of $2.5 trillion.""",/factchecks/2020/jan/10/donald-trump/trump-exaggerates-spending-us-military-rebuild/,barely-true
290,Says photo shows U.S. planes on fire after Iranian missile strikes in Iraq.,/factchecks/2020/jan/09/islamic-republic-news-agency-islamic-republic-news/iranian-news-agency-shares-old-photo-israeli-missi/,false
291,"""In 2018, Biden lauded Paul Ryan for proposing cuts to Social Security and Medicare.""",/factchecks/2020/jan/09/bernie-sanders/did-biden-laud-paul-ryan-proposal-cut-social-secur/,false
292,"Says Qassem Soleimani ""assisted in the clandestine travel to Afghanistan of 10 of the 12 terrorists who carried out the September 11 terrorist attacks in the United States.""",/factchecks/2020/jan/07/mike-pence/mike-pence-lacks-evidence-claiming-soleimani-helpe/,false
293,"Says the Democratic leadership and presidential candidates ""are mourning the loss of (Qassem) Soleimani""",/factchecks/2020/jan/07/nikki-haley/nikki-haleys-pants-fire-claim-top-democrats-are-mo/,pants-fire
294,"Says he did not tell former President Barack Obama ""don’t go"" after Osama bin Laden",/factchecks/2020/jan/06/joe-biden/biden-continues-recast-his-comments-obama-about-bi/,barely-true
295,"""President Trump didn't say he'd go after a cultural site.""",/factchecks/2020/jan/06/mike-pompeo/pompeo-falsely-claims-trump-did-not-say-hed-go-aft/,false
296,A video shows Joe Biden making a racist comment.,/factchecks/2020/jan/03/Mooncult/deceptively-edited-video-joe-biden-falsely-suggest/,false
297,"""You have to have congressional authority"" to close Guantanamo Bay prison.",/factchecks/2019/dec/20/joe-biden/congress-put-roadblocks-front-efforts-close-gitmo-/,mostly-true
298,"""They banned face masks in Hong Kong. Why? Because they have AI technology that now is using facial recognition to identify protesters if they so much as do anything on the street, so they can follow up with them and detain them later.""",/factchecks/2019/dec/20/andrew-yang/yangs-account-hong-kongs-face-mask-ban-misses-some/,half-true
299,"Says Pete Buttigieg ran statewide in Indiana and ""lost by 20 points.""",/factchecks/2019/dec/20/amy-klobuchar/its-true-he-was-mayor-pete-buttigieg-ran-statewide/,true
300,"Real wages ""went up last year 1.1%.""",/factchecks/2019/dec/20/bernie-sanders/bernie-sanders-says-real-wages-rose-11-hes-right/,true
301,"""In November 2019, Speaker Pelosi said it would be ‘dangerous’ to leave it to voters to determine whether President Trump stays in office.""",/factchecks/2019/dec/19/doug-collins/doug-collins-repeats-false-claim-about-pelosis-let/,false
302,"""When Jesus was falsely accused of treason, Pontius Pilate gave Jesus the opportunity to face his accusers. During that sham trial, Pontius Pilate afforded more rights to Jesus than the Democrats have afforded this president in this process.""",/factchecks/2019/dec/19/barry-loudermilk/false-claim-comparing-jesus-pontius-pilate-and-tru/,false
303,"Says President Donald Trump ""has not given this Congress a single email, phone record or document.""",/factchecks/2019/dec/19/jim-himes/himes-says-white-house-snubbed-houses-document-req/,mostly-true
304,"""I (found) the Republican votes for the Recovery Act, Obamacare, help us from falling into a Great Depression.""",/factchecks/2019/dec/18/joe-biden/joe-biden-says-he-got-republicans-vote-obamacare-a/,barely-true
305,"Delaware has the ""eighth-largest black population in the country""",/factchecks/2019/dec/16/joe-biden/biden-misstates-delawares-black-population/,barely-true
306,"The U.S. spends ""57 cents on the dollar on defense.""",/factchecks/2019/dec/13/ilhan-omar/rep-ilhan-omars-claim-us-spends-57-federal-budget-/,false
307,"""Roughly one in four fish eaten in the United States was caught here and sent to Asia for processing before being re-imported for American consumers.""",/factchecks/2019/dec/13/elizabeth-warren/fish-tale-elizabeth-warren-goes-overboard-claim-re/,barely-true
308,"Says that in South Bend, Ind., the ""black poverty fell by more than half on my watch.""",/factchecks/2019/dec/12/pete-buttigieg/fact-checking-pete-buttigieg-south-bends-black-pov/,barely-true
309,"""The Inspector General’s report now makes clear that the FBI launched an intrusive investigation of a U.S. presidential campaign on the thinnest of suspicions.""",/factchecks/2019/dec/11/william-barr/barr-disputes-inspector-generals-report/,barely-true
310,"Says House Intelligence Chair Adam Schiff ""made up the conversation. He lied. If he didn't do that in the halls of Congress, he'd be thrown in jail. He did it in the halls of Congress, he's given immunity.""",/factchecks/2019/dec/05/donald-trump/fact-checking-donald-trump-libel-law-and-prison/,false
311,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",/factchecks/2019/dec/04/john-kennedy2/gop-senator-falsely-says-ukraine-president-helped-/,false
312,"""No other city in America did what (New York) did. We reduced murders by 50%, reduced police shootings to historic lows, reduced the number of people incarcerated by nearly 40%.""",/factchecks/2019/dec/02/michael-bloomberg/new-york-crime-did-drop-when-2020-hopeful-michael-/,mostly-true
313,"Says ABC 7 reported the Santa Clarita high school shooting ""3 weeks in advance.""",/factchecks/2019/nov/26/facebook-posts/no-tv-station-did-not-report-school-shooting-3-wee/,pants-fire
314,"""Today in America — a new study came out — 20 years out, whites who borrowed money, 94% of them have paid off their student loan debt; 5% of African Americans have paid it off.""",/factchecks/2019/nov/21/elizabeth-warren/elizabeth-warren-misstates-findings-racial-dispari/,barely-true
315,"""The president had to confess in writing, in court to illegally diverting charitable contributions that were supposed to go to veterans.""",/factchecks/2019/nov/21/pete-buttigieg/pete-buttigieg-falsely-says-donald-trump-illegally/,false
316,"""In America, there is a father who is holding down two jobs and paying more taxes than the richest 400 families in America.""",/factchecks/2019/nov/21/kamala-harris/kamala-harris-claim-about-typical-dad-paying-more-/,barely-true
317,"""They never thought ... that I was going to release that call and I really had no choice because Adam Schiff made up a call.""",/factchecks/2019/nov/19/donald-trump/donald-trump-schiff-ukraine-timeline-phone-memo/,false
318,"""Nancy Pelosi, Adam Schiff, and the rest of the corrupt Democrats made a promise to their crazy left-wing base that they would impeach me even BEFORE I took office.""",/factchecks/2019/nov/19/donald-trump/no-evidence-trumps-claim-pelosi-schiff-promised-im/,false
319,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",/factchecks/2019/nov/15/donald-trump/trump-inaccurately-disparages-yovanovitch-somalia-/,pants-fire
320,"Says Marie Yovanovitch was ""dishonest"" when she claimed under oath that she never personally responded to an email from a Democratic staffer. But ""in fact, it turns out that she did respond.""",/factchecks/2019/nov/15/tucker-carlson/fact-checking-tucker-carlsons-false-claim-about-te/,false
321,"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",/factchecks/2019/nov/14/william-taylor/fact-checking-impeachment-witness-william-taylors-/,mostly-true
322,"""Many of the people in DACA, no longer very young, are far from ‘angels.’ Some are very tough, hardened criminals.""",/factchecks/2019/nov/14/donald-trump/donald-trumps-label-some-daca-recipients-very-toug/,false
323,"Says William Taylor and George Kent, the public witnesses in the House impeachment inquiry, are ""Never Trumpers.""",/factchecks/2019/nov/13/donald-trump/donald-trump-says-william-taylor-and-george-kent-a/,false
324,"Says Obama said black people have the ""worst jobs, the worst housing"" and face rampant police brutality, ""but when so-called black committeemen came around election time we’d all line up and vote the straight Democratic ticket, sell our souls for a Christmas turkey.""",/factchecks/2019/nov/12/committee-defend-president/pro-trump-facebook-ad-distorts-obamas-words-about-/,pants-fire
325,"President Donald Trump's phone call with the Ukrainian president ""sounds exactly like what Joe Biden did.""",/factchecks/2019/nov/11/rand-paul/rand-paul-said-trumps-actions-related-ukraine-were/,false
326,"""It’s only a federal crime for the"" inspector general to out a whistleblower.",/factchecks/2019/nov/11/donald-trump-jr/outing-whistleblower-only-crime-if-inspector-gener/,mostly-true
327,"Says ""Stacey Abrams wants to give illegal aliens the right to vote.""",/factchecks/2019/nov/06/donald-trump/donald-trump-distorts-stacey-abrams-comments-ab/,barely-true
328,"""When it comes to electability, every single time my party has won the presidency in the last 50 years, it’s been with a candidate who was new on the national scene, hadn’t spent a lot of time in Washington, and represented a new generation of leadership.""",/factchecks/2019/nov/05/pete-buttigieg/fact-checking-pete-buttigieg-success-democratic-pr/,mostly-true
329,"Says under the Democratic impeachment inquiry, Republicans get ""more rights than we ever received in any of the other impeachment proceedings.""",/factchecks/2019/nov/04/nancy-pelosi/nancy-pelosi-overstates-republican-gains-impeachme/,barely-true
330,"The impeachment process against Donald Trump ""provides fewer due process protections and fewer protections for minority rights than what we have seen in previous impeachment efforts.""",/factchecks/2019/nov/04/tom-cole/rep-tom-cole-exaggerate-limits-republicans-impeach/,barely-true
331,"Candidates who are supporting the Green New Deal are ""promoting abortion in third world countries to control the population!""",/factchecks/2019/nov/01/nikki-haley/nikki-haleys-claim-linking-green-new-deal-abortion/,barely-true
332,"Says he is ""cutting illegal immigration in half.""",/factchecks/2019/oct/31/donald-trump/donald-trumps-world-series-ad-said-he-cut-illegal-/,false
333,"""I entered as one of the poorest men in Congress, left one of the poorest men in government, in Congress and as vice president.""",/factchecks/2019/oct/30/joe-biden/fact-checking-joe-bidens-claim-hes-among-poorest-g/,mostly-true
334,Say Sen. Lindsey Graham supports the Green New Deal.,/factchecks/2019/oct/28/blog-posting/no-lindsey-graham-does-not-support-green-new-deal/,pants-fire
335,"Says House Democrats leading the impeachment inquiry are ""denying President Trump basic fairness and due process accorded every American.""",/factchecks/2019/oct/28/lindsey-graham/graham-wrong-house-impeachment-inquiry-denies-trum/,false
336,"Says in his 2000 book ""I was talking about Osama bin Laden. I said, ‘You have to kill him. You have to take him out.’""",/factchecks/2019/oct/28/donald-trump/again-trump-boasted-he-called-take-out-osama-bin-l/,barely-true
337,"Says Congress gave Wall Street ""trillions of dollars of zero interest loans.""",/factchecks/2019/oct/25/bernie-sanders/bernie-sanders-overstates-recession-aid-wall-stree/,half-true
338,"Says his impeachment is a ""coup.""",/factchecks/2019/oct/25/donald-trump/donald-trump-says-impeachment-coup-s-pants-fire/,pants-fire
339,"""I'm one of only two candidates in the field that 10% or more of Donald Trump voters say they would support in the general"" election.",/factchecks/2019/oct/24/andrew-yang/andrew-yangs-claim-support-among-trump-voters-rate/,pants-fire
340,"AARP backed ""federal funding for Planned Parenthood.""",/factchecks/2019/oct/22/association-mature-american-citizens/online-ads-claiming-aarp-backed-federal-funding-pl/,false
341,"""To be clear, I’m not talking about confiscating anybody’s guns.""",/factchecks/2019/oct/21/beto-orourke/despite-his-claim-presidential-candidate-beto-orou/,false
342,"Says Donald Trump ""will not be profiting"" from the G-7 summit meeting to be held at Trump’s Doral resort.",/factchecks/2019/oct/18/mick-mulvaney/mulvaney-wrong-donald-trump-wont-profit-g7/,false
343,"""When my father became commander in chief of this country, we got out of all international business.""",/factchecks/2019/oct/18/eric-trump/eric-trumps-false-claim-trump-family-got-out-all-i/,pants-fire
344,"""Most people below $50,000 don’t pay any income tax. The top 1 percent in our country pay 40%.""",/factchecks/2019/oct/17/rand-paul/fact-checking-rand-pauls-appearance-view/,mostly-true
345,"""The Kurds are much safer right now.""",/factchecks/2019/oct/16/donald-trump/after-attacks-turkey-trump-falsely-claims-kurds-sy/,false
346,"Says about universal basic income, ""Thomas Paine was for it at our founding ... Martin Luther King, champion in the ‘60s, called it a guaranteed minimum income for all Americans… It passed the U.S. House of Representatives twice in 1971.""",/factchecks/2019/oct/16/andrew-yang/fact-checking-andrew-yang-history-universal-basic-/,mostly-true
347,"""The 1% is paying less in taxes than everyone else.""",/factchecks/2019/oct/16/ilhan-omar/does-1-pay-less-taxes-everyone-else/,half-true
348,"""Ohio, Michigan, and Pennsylvania actually in the latest jobs data have lost jobs, not gained them.""",/factchecks/2019/oct/16/julian-castro/julian-castro-wrong-about-job-losses-ohio-michigan/,false
349,"Americans ""say that what they want is a choice"" to join a single-payer system like Medicare rather than ending private insurance.",/factchecks/2019/oct/16/pete-buttigieg/refereeing-pete-buttigieg-elizabeth-warren-medicar/,true
350,"""If Trump tries to lie in a TV ad, most networks will refuse to air it. But Facebook just cashes Trump’s checks.""",/factchecks/2019/oct/15/elizabeth-warren/phony-facebook-ad-warren-said-most-tv-networks-wil/,barely-true
351,"As mayor of Newark, N.J., Cory Booker ""stole $600,000 from a city water authority and laundered it through his law firm.""",/factchecks/2019/oct/14/roger-stone/old-roger-stone-video-about-cory-booker-has-gone-v/,false
352,"""Fact: Joe Biden pressured Ukraine to fire its prosecutor .... Fact: the prosecutor said he was forced out for leading a corruption probe into Hunter Biden's company. Fact: Democrats want to impeach President Trump for discussing this investigation with Ukraine's President.""",/factchecks/2019/oct/11/donald-trump/trump-ad-misleads-about-biden-ukraine-and-prosecut/,false
353,"""The first so-called second hand information ‘Whistleblower’ got my phone conversation almost completely wrong.""",/factchecks/2019/oct/09/donald-trump/donald-trump-whistleblower-got-phone-call-almost-c/,pants-fire
354,"Says Joe Biden ""said he never spoke to the Ukrainian company, and then the picture came out where he was playing golf with the company boss and Hunter"" Biden.",/factchecks/2019/oct/08/donald-trump/trump-claims-photo-shows-bidens-playing-golf-ukrai/,false
355,"Minneapolis ""city government preemptively informed the Target Center that it would be responsible for $530,000 in security and other costs"" related to a Trump rally, ""more than 26 times the estimated security costs for a 2009 Target Center health care rally held by President Barack Obama.""",/factchecks/2019/oct/08/donald-trump/trump-campaign-says-minneapolis-wants-charge-53000/,true
356,"""We have not spoken directly with the whistleblower.""",/factchecks/2019/oct/04/adam-schiff/adam-schiffs-false-claim-we-have-not-spoken-direct/,false
357,"""We’re no longer the wealthiest middle class in the world.""",/factchecks/2019/oct/04/joe-biden/us-middle-class-no-longer-leads-world-bidens-claim/,mostly-true
358,"""Longstanding whistleblower rules (were changed) just before submittal of the fake whistleblower report.""",/factchecks/2019/oct/01/donald-trump/donald-trumps-false-claim-about-change-whistleblow/,false
359,"""For the first time in history, most new hires of prime working age are minorities and women.""",/factchecks/2019/sep/27/donald-trump/fact-checking-trump-hiring-minorities-women/,half-true
360,"""A lot of people are talking about"" the removal of a ""very fair prosecutor"" in Ukraine.",/factchecks/2019/sep/26/donald-trump/donald-trumps-boasts-about-former-ukrainian-prosec/,false
361,"""80% of the world’s population lives in countries where religious liberty is in significant danger or even completely outlawed.""",/factchecks/2019/sep/25/donald-trump/donald-trumps-flawed-stat-threats-religious-freedo/,half-true
362,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",/factchecks/2019/sep/25/donald-trump/donald-trump-said-european-nations-have-not-put-mo/,barely-true
363,"Says Ilhan Omar ""partied"" on the anniversary of 9/11.",/factchecks/2019/sep/19/donald-trump/trump-retweets-false-claim-ilhan-omar-partied-911-/,pants-fire
364,"""The Obama-Biden Administration did not conduct workplace raids—in fact, it ended them.""",/factchecks/2019/sep/18/joe-biden/biden-says-obama-ended-workplace-raids-immigrants/,half-true
365,"The United States is ""very energy independent.""",/factchecks/2019/sep/13/donald-trump/trump-exaggerates-us-energy-independence/,half-true
366,"Says the Obama administration ""didn't lock people up in cages.""",/factchecks/2019/sep/13/joe-biden/fact-checking-biden-use-cages-during-obama-adminis/,false
367,"""54 senators said, let's do background checks, let's get rid of assault weapons, and with 54 senators it failed because of the filibuster.""",/factchecks/2019/sep/13/elizabeth-warren/sen-elizabeth-warren-conflated-votes-assault-weapo/,half-true
368,"""The difference between what I support and what you support, Vice President Biden, is that you require them to opt in (to a Medicare public option), and I would not require them to opt in. … They would automatically be enrolled. That’s a big difference. … Are you forgetting what you said two minutes ago?""",/factchecks/2019/sep/13/julian-castro/julian-castro-attack-joe-bidens-health-plan-falls-/,barely-true
369,"""Over 90% of the American people think we have to get assault weapons off the street  — period.""",/factchecks/2019/sep/12/joe-biden/biden-exaggerated-percentage-americans-who-favor-a/,barely-true
370,"""One unnamed donor gave $17 million to the Leo-affiliated Judicial Crisis Network to block the nomination of Judge Merrick Garland and to support Gorsuch; then a donor — perhaps the same one — gave another $17 million to prop up Kavanaugh.""",/factchecks/2019/sep/11/sheldon-whitehouse/its-true-millions-dark-money-has-been-spent-tilt-c/,true
371,"China has ""had now the worst year in 57 years.""",/factchecks/2019/sep/10/donald-trump/trump-wrongly-claims-china-having-its-worst-year-5/,barely-true
